aspect_key,review_key,property_key,review_date,category,polarity,severity,confidence,actionable_by,evidence_span,model,rating,language
444,239,1,2025-07-15,other,negative,moderate,high,none,the approach road is badly lit at night,gemini-3.1-flash-lite,4.5,en
445,240,2,2025-07-17,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
446,241,2,2025-07-10,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,4.5,en
447,241,2,2025-07-10,room_quality,positive,not_applicable,high,none,everything worked exactly as it should,gemini-3.1-flash-lite,4.5,en
448,242,1,2025-07-10,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,4.5,en
449,242,1,2025-07-10,housekeeping_response,positive,not_applicable,high,none,daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.5,en
450,242,1,2025-07-10,noise,negative,moderate,high,front_office,construction noise started early every morning,gemini-3.1-flash-lite,4.5,en
451,243,1,2025-07-17,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
452,243,1,2025-07-17,cleanliness,positive,not_applicable,high,none,bathroom was sparkling clean,gemini-3.1-flash-lite,4.5,en
453,244,1,2025-07-12,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
454,244,1,2025-07-12,value,positive,not_applicable,high,none,cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
455,244,1,2025-07-12,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
456,245,1,2025-07-18,noise,positive,not_applicable,high,none,"Very peaceful, slept well every night",gemini-3.1-flash-lite,5.0,en
457,246,1,2025-07-19,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.5,en
458,246,1,2025-07-19,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,4.5,en
459,246,1,2025-07-19,room_quality,negative,minor,high,none,the apartment felt smaller than the photos suggested,gemini-3.1-flash-lite,4.5,en
460,247,1,2025-07-15,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,4.0,en
461,248,1,2025-07-18,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,3.5,en
462,248,1,2025-07-18,room_quality,positive,not_applicable,high,none,room spacious tha aur well maintained,gemini-3.1-flash-lite,3.5,en
463,248,1,2025-07-18,value,negative,minor,medium,revenue,for this price I expected more,gemini-3.1-flash-lite,3.5,en
464,249,1,2025-07-19,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
465,250,1,2025-07-27,room_quality,positive,not_applicable,high,none,The apartment is well furnished and spacious,gemini-3.1-flash-lite,4.0,en
466,250,1,2025-07-27,cleanliness,positive,not_applicable,high,none,room was very clean and fresh,gemini-3.1-flash-lite,4.0,en
467,250,1,2025-07-27,check_in,negative,severe,high,tech,the access code did not work and we waited outside,gemini-3.1-flash-lite,4.0,en
468,251,2,2025-07-26,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
469,251,2,2025-07-26,noise,positive,not_applicable,high,none,quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
470,252,2,2025-07-18,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,5.0,en
471,252,2,2025-07-18,value,positive,not_applicable,high,none,"paisa vasool, definitely worth it",gemini-3.1-flash-lite,5.0,en
472,253,1,2025-07-17,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
473,254,1,2025-07-23,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
474,254,1,2025-07-23,amenities,positive,not_applicable,high,none,free parking made a big difference,gemini-3.1-flash-lite,5.0,en
475,254,1,2025-07-23,food,negative,moderate,high,revenue,"there is no restaurant, which was inconvenient",gemini-3.1-flash-lite,5.0,en
476,255,1,2025-07-26,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,4.5,en
477,255,1,2025-07-26,cleanliness,positive,not_applicable,high,none,the apartment was spotless when we arrived,gemini-3.1-flash-lite,4.5,en
478,256,2,2025-07-20,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
479,257,1,2025-07-25,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.0,hinglish
480,257,1,2025-07-25,maintenance,negative,moderate,high,maintenance,AC theek se kaam nahi kar raha tha,gemini-3.1-flash-lite,4.0,hinglish
481,258,2,2025-07-27,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,5.0,en
482,258,2,2025-07-27,housekeeping_response,positive,not_applicable,high,none,housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
483,259,2,2025-07-28,amenities,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.0,en
484,259,2,2025-07-28,noise,positive,not_applicable,high,none,quiet even on the weekend,gemini-3.1-flash-lite,4.0,en
485,259,2,2025-07-28,check_in,negative,moderate,high,tech,the access code did not work and we waited outside,gemini-3.1-flash-lite,4.0,en
486,260,1,2025-08-11,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
487,260,1,2025-08-11,cleanliness,negative,moderate,high,housekeeping,the bathroom had not been cleaned properly,gemini-3.1-flash-lite,4.5,en
488,261,1,2025-07-31,check_in,positive,not_applicable,high,none,Self check-in worked perfectly at midnight,gemini-3.1-flash-lite,4.5,en
489,261,1,2025-07-31,location,negative,minor,high,front_office,the approach road is badly lit at night,gemini-3.1-flash-lite,4.5,en
490,262,2,2025-08-04,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,5.0,en
491,262,2,2025-08-04,noise,positive,not_applicable,high,none,quiet residential street,gemini-3.1-flash-lite,5.0,en
492,263,1,2025-07-29,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,4.5,en
493,264,2,2025-07-29,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
494,264,2,2025-07-29,cleanliness,positive,not_applicable,high,none,the apartment was spotless when we arrived,gemini-3.1-flash-lite,4.5,en
495,265,1,2025-07-29,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.5,en
496,265,1,2025-07-29,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
497,266,1,2025-07-31,room_quality,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,4.0,en
498,266,1,2025-07-31,location,negative,moderate,high,front_office,the approach road is badly lit at night,gemini-3.1-flash-lite,4.0,en
499,267,2,2025-08-02,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,5.0,en
500,267,2,2025-08-02,food,negative,minor,high,none,"there is no restaurant, which was inconvenient",gemini-3.1-flash-lite,5.0,en
501,268,1,2025-08-04,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.5,en
502,268,1,2025-08-04,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
503,268,1,2025-08-04,housekeeping_response,negative,minor,high,housekeeping,no tea or coffee was restocked after the first day,gemini-3.1-flash-lite,4.5,en
504,269,1,2025-08-12,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
505,269,1,2025-08-12,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,4.5,en
506,270,2,2025-08-07,room_quality,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,4.0,en
507,270,2,2025-08-07,location,positive,not_applicable,high,none,"great location, walking distance to everything",gemini-3.1-flash-lite,4.0,en
508,270,2,2025-08-07,value,negative,moderate,medium,revenue,for this price I expected more,gemini-3.1-flash-lite,4.0,en
509,271,1,2025-08-09,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,5.0,en
510,272,1,2025-08-04,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,4.5,en
511,272,1,2025-08-04,maintenance,negative,moderate,high,maintenance,geyser was not working properly,gemini-3.1-flash-lite,4.5,en
512,273,1,2025-07-31,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.5,en
513,274,2,2025-07-31,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.5,en
514,275,2,2025-08-01,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,4.0,en
515,275,2,2025-08-01,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.0,en
516,275,2,2025-08-01,cleanliness,negative,moderate,high,housekeeping,room thoda dirty tha,gemini-3.1-flash-lite,4.0,en
517,276,1,2025-08-08,check_in,positive,not_applicable,high,none,Self check-in worked perfectly at midnight,gemini-3.1-flash-lite,5.0,en
518,276,1,2025-08-08,amenities,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
519,277,2,2025-08-10,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
520,278,1,2025-08-14,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
521,278,1,2025-08-14,cleanliness,positive,not_applicable,high,none,room was very clean and fresh,gemini-3.1-flash-lite,5.0,en
522,279,2,2025-08-15,housekeeping_response,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
523,279,2,2025-08-15,food,negative,moderate,high,revenue,"there is no restaurant, which was inconvenient",gemini-3.1-flash-lite,5.0,en
524,280,1,2025-08-15,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
525,281,1,2025-08-16,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.5,en
526,282,1,2025-08-23,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,4.5,en
527,282,1,2025-08-23,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.5,en
528,283,1,2025-08-15,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,5.0,en
529,283,1,2025-08-15,location,positive,not_applicable,high,none,"great location, walking distance to everything",gemini-3.1-flash-lite,5.0,en
530,283,1,2025-08-15,amenities,negative,minor,high,housekeeping,no tea or coffee was restocked after the first day,gemini-3.1-flash-lite,5.0,en
531,284,1,2025-08-12,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,4.0,hinglish
532,284,1,2025-08-12,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,4.0,hinglish
533,284,1,2025-08-12,maintenance,negative,moderate,high,maintenance,AC theek se kaam nahi kar raha tha,gemini-3.1-flash-lite,4.0,hinglish
534,285,1,2025-08-22,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,5.0,en
535,286,2,2025-08-14,check_in,positive,not_applicable,high,none,Check-in was quick and painless,gemini-3.1-flash-lite,5.0,en
536,286,2,2025-08-14,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
537,287,1,2025-08-15,value,positive,not_applicable,high,none,Excellent value for what you get,gemini-3.1-flash-lite,5.0,en
538,287,1,2025-08-15,cleanliness,positive,not_applicable,high,none,ekdum clean tha,gemini-3.1-flash-lite,5.0,en
539,288,1,2025-08-15,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.0,en
540,289,2,2025-08-15,amenities,positive,not_applicable,high,none,Free parking,gemini-3.1-flash-lite,4.5,en
541,289,2,2025-08-15,location,negative,moderate,high,maintenance,approach road is badly lit at night,gemini-3.1-flash-lite,4.5,en
542,290,2,2025-08-20,location,positive,not_applicable,high,none,"Great location, walking distance to everything",gemini-3.1-flash-lite,4.5,en
543,291,2,2025-08-17,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,4.0,en
544,291,2,2025-08-17,check_in,positive,not_applicable,high,none,self check-in worked perfectly at midnight,gemini-3.1-flash-lite,4.0,en
545,292,1,2025-08-19,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
546,292,1,2025-08-19,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
547,293,2,2025-08-23,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,4.5,en
548,294,2,2025-08-20,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
549,294,2,2025-08-20,room_quality,positive,not_applicable,high,none,apartment is well furnished and spacious,gemini-3.1-flash-lite,5.0,en
550,295,1,2025-08-23,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable.,gemini-3.1-flash-lite,5.0,en
551,296,1,2025-08-31,amenities,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
552,296,1,2025-08-31,cleanliness,positive,not_applicable,high,none,room was very clean and fresh,gemini-3.1-flash-lite,5.0,en
553,297,1,2025-08-24,amenities,positive,not_applicable,high,none,Free parking,gemini-3.1-flash-lite,5.0,en
554,297,1,2025-08-24,check_in,positive,not_applicable,high,none,early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,en
555,298,2,2025-08-24,room_quality,positive,not_applicable,high,none,The apartment is well furnished and spacious,gemini-3.1-flash-lite,5.0,en
556,299,2,2025-08-23,cleanliness,positive,not_applicable,high,none,Ekdum clean tha,gemini-3.1-flash-lite,4.5,en
557,299,2,2025-08-23,other,negative,moderate,medium,maintenance,Hope they fix it.,gemini-3.1-flash-lite,4.5,en
558,300,2,2025-08-22,location,positive,not_applicable,high,none,Great location,gemini-3.1-flash-lite,5.0,en
559,300,2,2025-08-22,room_quality,positive,not_applicable,high,none,bed was extremely comfortable,gemini-3.1-flash-lite,5.0,en
560,300,2,2025-08-22,staff,negative,moderate,high,front_office,the front desk was unhelpful when we raised an issue,gemini-3.1-flash-lite,5.0,en
561,301,1,2025-08-29,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,5.0,en
562,301,1,2025-08-29,staff,positive,not_applicable,high,none,staff were genuinely warm and helpful,gemini-3.1-flash-lite,5.0,en
563,302,1,2025-08-26,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,hinglish
564,302,1,2025-08-26,wifi,negative,moderate,high,tech,wifi bar bar disconnect ho raha tha,gemini-3.1-flash-lite,5.0,hinglish
565,303,2,2025-08-28,housekeeping_response,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
566,304,1,2025-08-29,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.5,hinglish
567,304,1,2025-08-29,noise,positive,not_applicable,high,none,"very peaceful, slept well every night",gemini-3.1-flash-lite,4.5,hinglish
568,304,1,2025-08-29,wifi,negative,moderate,high,tech,wifi bar bar disconnect ho raha tha,gemini-3.1-flash-lite,4.5,hinglish
569,305,2,2025-08-27,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.5,en
570,305,2,2025-08-27,staff,positive,not_applicable,high,none,staff were genuinely warm and helpful,gemini-3.1-flash-lite,4.5,en
571,306,1,2025-08-28,noise,negative,moderate,high,maintenance,could hear everything from the corridor,gemini-3.1-flash-lite,4.0,en
572,307,2,2025-08-29,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
573,307,2,2025-08-29,check_in,negative,moderate,high,front_office,the access code did not work and we waited outside,gemini-3.1-flash-lite,5.0,en
574,308,1,2025-08-29,value,positive,not_applicable,high,none,Excellent value for what you get,gemini-3.1-flash-lite,5.0,en
575,308,1,2025-08-29,amenities,positive,not_applicable,high,none,grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
576,309,1,2025-09-04,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
577,310,1,2025-08-27,noise,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,4.5,en
578,311,2,2025-08-28,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
579,311,2,2025-08-28,housekeeping_response,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
580,311,2,2025-08-28,cleanliness,negative,severe,high,housekeeping,bedsheets had stains when we checked in,gemini-3.1-flash-lite,5.0,en
581,312,1,2025-09-01,value,positive,not_applicable,high,none,Excellent value for what you get,gemini-3.1-flash-lite,4.0,en
582,312,1,2025-09-01,noise,positive,not_applicable,high,none,"very peaceful, slept well every night",gemini-3.1-flash-lite,4.0,en
583,313,1,2025-09-04,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
584,314,1,2025-09-03,housekeeping_response,negative,moderate,high,housekeeping,no tea or coffee was restocked after the first day,gemini-3.1-flash-lite,5.0,en
585,315,1,2025-09-04,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
586,316,1,2025-09-08,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
587,316,1,2025-09-08,staff,positive,not_applicable,high,none,staff bahut helpful the,gemini-3.1-flash-lite,4.5,en
588,317,1,2025-09-08,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.0,en
589,317,1,2025-09-08,wifi,negative,severe,high,tech,internet was too slow to work on,gemini-3.1-flash-lite,4.0,en
590,318,1,2025-08-31,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,4.5,en
591,319,1,2025-09-07,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,4.0,hinglish
592,319,1,2025-09-07,check_in,negative,moderate,high,front_office,check-in mein bahut time laga,gemini-3.1-flash-lite,4.0,hinglish
593,320,1,2025-09-09,cleanliness,positive,not_applicable,high,none,Ekdum clean tha,gemini-3.1-flash-lite,5.0,en
594,320,1,2025-09-09,value,positive,not_applicable,high,none,cheaper than a hotel,gemini-3.1-flash-lite,5.0,en
595,320,1,2025-09-09,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,5.0,en
596,321,2,2025-09-05,noise,positive,not_applicable,high,none,Very peaceful,gemini-3.1-flash-lite,4.0,en
597,321,2,2025-09-05,noise,negative,moderate,high,maintenance,could hear everything from the corridor,gemini-3.1-flash-lite,4.0,en
598,322,1,2025-09-04,value,positive,not_applicable,high,none,Paisa vasool,gemini-3.1-flash-lite,5.0,en
599,323,2,2025-09-07,housekeeping_response,positive,not_applicable,high,none,they arrived immediately,gemini-3.1-flash-lite,5.0,en
600,324,1,2025-09-08,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
601,324,1,2025-09-08,location,positive,not_applicable,high,none,very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
602,325,1,2025-09-11,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.5,en
603,325,1,2025-09-11,room_quality,positive,not_applicable,high,none,bed was extremely comfortable,gemini-3.1-flash-lite,4.5,en
604,325,1,2025-09-11,other,negative,moderate,low,none,Hope they fix it.,gemini-3.1-flash-lite,4.5,en
605,326,1,2025-09-17,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,4.0,en
606,326,1,2025-09-17,housekeeping_response,positive,not_applicable,high,none,housekeeping came within minutes of asking,gemini-3.1-flash-lite,4.0,en
607,327,2,2025-09-07,cleanliness,positive,not_applicable,high,none,The apartment was spotless when we arrived,gemini-3.1-flash-lite,5.0,en
608,327,2,2025-09-07,housekeeping_response,positive,not_applicable,high,none,daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
609,328,1,2025-09-11,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,5.0,en
610,328,1,2025-09-11,other,negative,moderate,low,none,Hope they fix it.,gemini-3.1-flash-lite,5.0,en
611,329,1,2025-09-06,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,5.0,en
612,329,1,2025-09-06,other,negative,moderate,low,none,Hope they fix it.,gemini-3.1-flash-lite,5.0,en
613,330,2,2025-09-09,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.5,en
614,330,2,2025-09-09,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
615,331,2,2025-09-13,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.0,en
616,331,2,2025-09-13,check_in,negative,moderate,high,front_office,check-in took over forty minutes,gemini-3.1-flash-lite,4.0,en
617,332,1,2025-09-15,staff,positive,not_applicable,high,none,Staff bahut helpful the,gemini-3.1-flash-lite,4.5,en
618,332,1,2025-09-15,housekeeping_response,positive,not_applicable,high,none,requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.5,en
619,333,1,2025-09-18,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
620,333,1,2025-09-18,value,positive,not_applicable,high,none,cheaper than a hotel and far more space,gemini-3.1-flash-lite,5.0,en
621,334,2,2025-09-14,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.0,en
622,334,2,2025-09-14,noise,positive,not_applicable,high,none,"very peaceful, slept well every night",gemini-3.1-flash-lite,4.0,en
623,335,2,2025-09-15,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.5,en
624,335,2,2025-09-15,room_quality,negative,minor,high,none,the apartment felt smaller than the photos suggested,gemini-3.1-flash-lite,4.5,en
625,336,2,2025-09-12,noise,positive,not_applicable,high,none,"Very peaceful, slept well every night",gemini-3.1-flash-lite,4.5,en
626,337,2,2025-09-13,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,5.0,en
627,337,2,2025-09-13,room_quality,positive,not_applicable,high,none,aC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
628,337,2,2025-09-13,staff,negative,moderate,high,front_office,nobody seemed to take ownership of the problem,gemini-3.1-flash-lite,5.0,en
629,338,1,2025-09-17,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,5.0,en
630,339,1,2025-09-15,check_in,positive,not_applicable,high,none,Check-in was quick and painless,gemini-3.1-flash-lite,4.5,en
631,339,1,2025-09-15,noise,positive,not_applicable,high,none,quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
632,340,1,2025-09-19,staff,positive,not_applicable,high,none,staff were genuinely warm and helpful,gemini-3.1-flash-lite,4.0,en
633,340,1,2025-09-19,maintenance,negative,moderate,high,maintenance,sofa was worn,gemini-3.1-flash-lite,4.0,en
634,340,1,2025-09-19,maintenance,negative,moderate,high,maintenance,chair was broken,gemini-3.1-flash-lite,4.0,en
635,341,2,2025-09-15,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,4.0,en
636,341,2,2025-09-15,housekeeping_response,negative,moderate,high,housekeeping,evening housekeeping requests were simply ignored,gemini-3.1-flash-lite,4.0,en
637,342,1,2025-09-16,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
638,343,1,2025-09-22,cleanliness,positive,not_applicable,high,none,The apartment was spotless when we arrived,gemini-3.1-flash-lite,5.0,en
639,343,1,2025-09-22,room_quality,negative,moderate,high,maintenance,sofa was worn,gemini-3.1-flash-lite,5.0,en
640,343,1,2025-09-22,room_quality,negative,moderate,high,maintenance,chair was broken,gemini-3.1-flash-lite,5.0,en
641,344,1,2025-09-19,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
642,344,1,2025-09-19,noise,positive,not_applicable,high,none,quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
643,345,1,2025-09-11,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
644,345,1,2025-09-11,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,5.0,en
645,346,1,2025-09-15,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
646,347,2,2025-09-22,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,4.0,en
647,347,2,2025-09-22,amenities,positive,not_applicable,high,none,laundry and gym were a real bonus,gemini-3.1-flash-lite,4.0,en
648,347,2,2025-09-22,maintenance,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,4.0,en
649,348,2,2025-09-27,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
650,349,2,2025-09-20,cleanliness,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
651,349,2,2025-09-20,location,positive,not_applicable,high,none,very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
652,349,2,2025-09-20,value,negative,minor,medium,revenue,for this price I expected more,gemini-3.1-flash-lite,5.0,en
653,350,1,2025-09-20,value,positive,not_applicable,high,none,"Paisa vasool, definitely worth it",gemini-3.1-flash-lite,4.5,hinglish
654,350,1,2025-09-20,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.5,hinglish
655,350,1,2025-09-20,maintenance,negative,moderate,high,maintenance,AC theek se kaam nahi kar raha tha,gemini-3.1-flash-lite,4.5,hinglish
656,351,2,2025-09-18,other,positive,not_applicable,medium,none,Everything worked exactly as it should,gemini-3.1-flash-lite,4.5,en
657,352,2,2025-09-25,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,en
658,352,2,2025-09-25,location,positive,not_applicable,high,none,very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
659,353,2,2025-09-23,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
660,353,2,2025-09-23,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
661,354,2,2025-09-24,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.5,en
662,354,2,2025-09-24,amenities,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
663,355,1,2025-09-25,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
664,355,1,2025-09-25,value,positive,not_applicable,high,none,cheaper than a hotel,gemini-3.1-flash-lite,5.0,en
665,355,1,2025-09-25,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,5.0,en
